Product_Id,locale,Product_Name
01J0R16V61DBK4019MXKFJTCB2,de,"Buprenorphinhydrochlorid, Naloxonhydrochlorid"
01J0R16V6229ZH1JXB92M7HABQ,de,HYDROMORPHONHYDROCHLORID
01J0R16V63111VSKMRV2RAGD0Z,de,Gabapentin
01J0R16V63NXTNBB9N72K0V46K,de,"OXYBENZON, OCTINOXAT, TITANDIOXID"
01J0R16V648SY4PF294X84GQB5,de,Loratadin
01J0R16V65NQCWH5YA136G5E2S,de,Triclosan
01J0R16V656A4V1NK867RP8PS4,de,TRETINOIN
01J0R16V66D471Y4YC4EZBWGZG,de,"Aceticum Acidum, Colchicum Autumnale, Lacticum Acidum, Lycopodium Clavatum, Phosphoricum Acidum, Phosphor"
01J0R16V67BAAK0H5G79BMRMND,de,Bupropion
01J0R16V68YCPGAMR3A2QRDQGR,de,Testosteron Enantat
01J0R16V6983AK9K6KXE6K04DR,de,STICKSTOFF
01J0R16V69VCQX4K8G4PT2PCGS,de,Rivastigmintartrat
01J0R16V6ACBFEMK62CDASQYX2,de,Fluoxetinhydrochlorid
01J0R16V6ABRXQE7TFQ0209MGY,de,Pyrithionzink
01J0R16V6BC6WA2191FGTGMQKB,de,Fluticasonpropionat
01J0R16V6B9QE4Q9PAMPS65BRA,de,"Octinoxat, Avobenzon und Octisalat"
01J0R16V6CBQJZRNH9F2KA3T5Y,de,Guaifenesin/Phenylephrin
01J0R16V6C9BZBCRAG5KGKXTEE,de,Oxaliplatin
01J0R16V6DZS91A6GXGPSM4Z87,de,Levetiracetam
01J0R16V61DBK4019MXKFJTCB2,es,"clorhidrato de buprenorfina, clorhidrato de naloxona"
01J0R16V6229ZH1JXB92M7HABQ,es,CLORHIDRATO DE HIDROMORFONA
01J0R16V63111VSKMRV2RAGD0Z,es,gabapentina
01J0R16V63NXTNBB9N72K0V46K,es,"OXIBENZONA, OCTINOXATO, DI�XIDO DE TITANIO"
01J0R16V648SY4PF294X84GQB5,es,loratadina
01J0R16V65NQCWH5YA136G5E2S,es,Triclos�n
01J0R16V656A4V1NK867RP8PS4,es,TRETINO�NA
01J0R16V66D471Y4YC4EZBWGZG,es,"Aceticum Acidum, Colchicum Autumnale, Lacticum Acidum, Lycopodium Clavatum, Phosphoricum Acidum, F�sforo"
01J0R16V67BAAK0H5G79BMRMND,es,bupropi�n
01J0R16V68YCPGAMR3A2QRDQGR,es,Enantato de testosterona
01J0R16V6983AK9K6KXE6K04DR,es,NITR�GENO
01J0R16V69VCQX4K8G4PT2PCGS,es,tartrato de rivastigmina
01J0R16V6ACBFEMK62CDASQYX2,es,Clorhidrato de fluoxetina
01J0R16V6ABRXQE7TFQ0209MGY,es,Piritiona de zinc
01J0R16V6BC6WA2191FGTGMQKB,es,propionato de fluticasona
01J0R16V6B9QE4Q9PAMPS65BRA,es,"Octinoxato, Avobenzona y Octisalato"
01J0R16V6CBQJZRNH9F2KA3T5Y,es,Guaifenesina/fenilefrina
01J0R16V6C9BZBCRAG5KGKXTEE,es,oxaliplatino
01J0R16V6DZS91A6GXGPSM4Z87,es,levetiracetam
